Status,Full Title,URL,Bedrooms,Bathrooms,Price,SqF,City,Address,PhoneNumber,email,
,,https://chicago.craigslist.org/chc/apa/d/chicago-stunning-2-bed-south-loop-wd-in/7032684575.html,2BR,2Ba,$2335,,(Chicago - South Loop),4631 N Paulina,(773) 949-9407,4d89a7577b393ef58ec13e99f3ac5f48@hous.craigslist.org,,
,,https://chicago.craigslist.org/nwi/apa/d/saint-john-saint-john-home/7032845925.html,2BR,2Ba,$2335,,(Chicago - South Loop),4631 N Paulina,(312) 882-8019,4d89a7577b393ef58ec13e99f3ac5f48@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-1748-wabansia-2r-1-bdrm-plus-den/7032683665.html,1BR,1Ba,$1145,,(Bucktown),Wabansia near Ashland,(219) 765-2936,6e101afce79f308ea38a5c91b4f78c2a@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-brand-new-2bd-1bth-rehabbed/7032843548.html,1BR,1Ba,$1145,,(Bucktown),Wabansia near Ashland,,6e101afce79f308ea38a5c91b4f78c2a@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/schaumburg-move-in-bonus-on-first-month/7032683529.html,2BR,1Ba,$1750,,(Logan Square),2620 N. Springfield 2 Rear,,c017e62067f53222918a6c49a0c1c2ee@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-brand-new-2bd-1bth-rehabbed/7032843548.html,2BR,1Ba,$1750,,(Logan Square),2620 N. Springfield 2 Rear,(312) 882-8019,49962af89290345ea5ba35aa54bc32fa@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/bensenville-ceiling-fan-refrigerator/7032681034.html,2BR,1Ba,$1750,,(Logan Square),2620 N. Springfield 2 Rear,(312) 480-0360,49962af89290345ea5ba35aa54bc32fa@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-1-bd-on-west-grace-st-no-fee/7032841105.html,2BR,2Ba,$1410,,(Chicago - Lakeview East),West Grace St,(844) 200-5593,9f91fb9b1f7937359f677c10ffe6b571@hous.craigslist.org,,
,,https://chicago.craigslist.org/sox/apa/d/chicago-freshly-painted/7032680032.html,2BR,2Ba,$1410,,(Chicago - Lakeview East),West Grace St,(314) 322-3561,9f91fb9b1f7937359f677c10ffe6b571@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-awesome-rehab-in-east-lincoln/7032840189.html,2BR,1Ba,$755,,(Roseland),11100 near 113th,(314) 322-3561,07a0d54da4353977a58c79752e275a8f@hous.craigslist.org,,
,,https://chicago.craigslist.org/nch/apa/d/vernon-hills-beautiful-updated-2/7032838635.html,2BR,1Ba,$755,,(Roseland),11100 near 113th,(312) 765-3803,07a0d54da4353977a58c79752e275a8f@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/justice-th-place/7032673941.html,1BR,1Ba,$775,,(JUSTICE),8141 w 84th place,(312) 765-3803,152c6c7ce7123a4cbf4f53f5d77b6fd7@hous.craigslist.org,,
,,https://chicago.craigslist.org/sox/apa/d/chicago-beautiful-condo-style-apt/7032673207.html,3BR,2Ba,$1450,,(Washington Park),5827 S. Wabash,(847) 401-3783,31db85c2c8ae3b0ba1b6ac711a788074@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-true-lofts-in-old-town/7032838128.html,1BR,1Ba,$1990,,(Chicago - Old Town),North Wells St near Schiller,(708) 794-8610,8991072d00d83497948feeca7a46c2cb@hous.craigslist.org,,
